Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,F2_Score,ROC_AUC,MCC,Actual_Positive_Rate,Predicted_Positive_Rate,Predicted_Positive_Count,Is_Controlled_Candidate,Selected,Selection_Method
0.1976499519184831,0.12569832402234637,0.5015923566878981,0.12324929971988796,1.0,0.2194513715710723,0.41275797373358347,0.5141140706427331,0.019811958342764585,0.12290502793296089,0.9972067039106145,357,False,False,
0.1990649073128458,0.12569832402234637,0.5015923566878981,0.12324929971988796,1.0,0.2194513715710723,0.41275797373358347,0.5141140706427331,0.019811958342764585,0.12290502793296089,0.9972067039106145,357,False,False,
0.20047986270720844,0.13128491620111732,0.495005790387956,0.12181303116147309,0.9772727272727273,0.21662468513853905,0.4064272211720227,0.5141140706427331,-0.02794573710997641,0.12290502793296089,0.9860335195530726,353,False,False,
0.2018948181015711,0.13128491620111732,0.495005790387956,0.12181303116147309,0.9772727272727273,0.21662468513853905,0.4064272211720227,0.5141140706427331,-0.02794573710997641,0.12290502793296089,0.9860335195530726,353,False,False,
0.20330977349593377,0.13128491620111732,0.495005790387956,0.12181303116147309,0.9772727272727273,0.21662468513853905,0.4064272211720227,0.5141140706427331,-0.02794573710997641,0.12290502793296089,0.9860335195530726,353,False,False,
0.20472472889029641,0.13128491620111732,0.495005790387956,0.12181303116147309,0.9772727272727273,0.21662468513853905,0.4064272211720227,0.5141140706427331,-0.02794573710997641,0.12290502793296089,0.9860335195530726,353,False,False,
0.20613968428465906,0.13128491620111732,0.495005790387956,0.12181303116147309,0.9772727272727273,0.21662468513853905,0.4064272211720227,0.5141140706427331,-0.02794573710997641,0.12290502793296089,0.9860335195530726,353,False,False,
0.20755463967902174,0.1340782122905028,0.4965981470758541,0.12215909090909091,0.9772727272727273,0.21717171717171718,0.4071969696969697,0.5141140706427331,-0.017401622150682108,0.12290502793296089,0.9832402234636871,352,False,False,
0.2089695950733844,0.13687150837988826,0.4981905037637522,0.1225071225071225,0.9772727272727273,0.21772151898734177,0.4079696394686907,0.5141140706427331,-0.00858175800531902,0.12290502793296089,0.9804469273743017,351,False,False,
0.21038455046774704,0.13687150837988826,0.4981905037637522,0.1225071225071225,0.9772727272727273,0.21772151898734177,0.4079696394686907,0.5141140706427331,-0.00858175800531902,0.12290502793296089,0.9804469273743017,351,False,False,
