Model,Test,Train,Validation
Hybrid LSTM-RF,0.26536312849162014,0.4293193717277487,0.6229050279329609
Pure LSTM,0.20391061452513967,0.4688772542175684,0.5195530726256983
Pure Random Forest,0.3817204301075269,0.3087132140796307,0.6182795698924731
