Model,Test,Train,Validation
Hybrid LSTM-RF,0.9217877094972067,0.7923211169284468,0.3715083798882682
Pure LSTM,1.0,0.7108784176847004,0.4860335195530726
Pure Random Forest,0.7016129032258065,0.9353721869590306,0.34946236559139787
