Model,Test,Train,Validation
Hybrid LSTM-RF,0.21212121212121213,0.2966226138032305,0.15789473684210525
Pure LSTM,0.20391061452513967,0.3011456628477905,0.13218390804597702
Pure Random Forest,0.20306513409961685,0.2640345465761875,0.12307692307692308
