Feature,Importance
LSTM_Probability,0.5218209116511262
FearGreed,0.19341341392130496
FED,0.15798460556420066
DXY_Return,0.06246949718974781
SP500_Return,0.06235891975762871
CPI_Change,0.0019526519159916889
