Model,Test,Train,Validation
Hybrid LSTM-RF,0.958904109589041,0.9461358313817331,0.4772727272727273
Pure LSTM,1.0,0.8618266978922716,0.5227272727272727
Pure Random Forest,0.7066666666666667,0.9884526558891455,0.36363636363636365
