Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,F2_Score,ROC_AUC,MCC,Actual_Positive_Rate,Predicted_Positive_Rate,Predicted_Positive_Count,Is_Controlled_Candidate,Selected,Selection_Method
0.09506562105075798,0.12849162011173185,0.5031847133757962,0.12359550561797752,1.0,0.22,0.41353383458646614,0.497466705269253,0.028057664191085643,0.12290502793296089,0.994413407821229,356,False,False,
0.09795353067430419,0.12849162011173185,0.5031847133757962,0.12359550561797752,1.0,0.22,0.41353383458646614,0.497466705269253,0.028057664191085643,0.12290502793296089,0.994413407821229,356,False,False,
0.10084144029785042,0.12849162011173185,0.5031847133757962,0.12359550561797752,1.0,0.22,0.41353383458646614,0.497466705269253,0.028057664191085643,0.12290502793296089,0.994413407821229,356,False,False,
0.10372934992139662,0.12849162011173185,0.5031847133757962,0.12359550561797752,1.0,0.22,0.41353383458646614,0.497466705269253,0.028057664191085643,0.12290502793296089,0.994413407821229,356,False,False,
0.10661725954494285,0.12849162011173185,0.5031847133757962,0.12359550561797752,1.0,0.22,0.41353383458646614,0.497466705269253,0.028057664191085643,0.12290502793296089,0.994413407821229,356,False,False,
0.10950516916848907,0.12849162011173185,0.4934134337000579,0.12146892655367232,0.9772727272727273,0.21608040201005024,0.4056603773584906,0.497466705269253,-0.04114798748072533,0.12290502793296089,0.9888268156424581,354,False,False,
0.11239307879203528,0.12849162011173185,0.4934134337000579,0.12146892655367232,0.9772727272727273,0.21608040201005024,0.4056603773584906,0.497466705269253,-0.04114798748072533,0.12290502793296089,0.9888268156424581,354,False,False,
0.1152809884155815,0.12849162011173185,0.4934134337000579,0.12146892655367232,0.9772727272727273,0.21608040201005024,0.4056603773584906,0.497466705269253,-0.04114798748072533,0.12290502793296089,0.9888268156424581,354,False,False,
0.11816889803912771,0.12849162011173185,0.4934134337000579,0.12146892655367232,0.9772727272727273,0.21608040201005024,0.4056603773584906,0.497466705269253,-0.04114798748072533,0.12290502793296089,0.9888268156424581,354,False,False,
0.12105680766267393,0.12849162011173185,0.4934134337000579,0.12146892655367232,0.9772727272727273,0.21608040201005024,0.4056603773584906,0.497466705269253,-0.04114798748072533,0.12290502793296089,0.9888268156424581,354,False,False,
0.12394471728622014,0.12849162011173185,0.4934134337000579,0.12146892655367232,0.9772727272727273,0.21608040201005024,0.4056603773584906,0.497466705269253,-0.04114798748072533,0.12290502793296089,0.9888268156424581,354,False,False,
