Model,Test,Train,Validation
Hybrid LSTM-RF,0.06996033631971078,0.21798859844812865,0.08193449008602897
Pure LSTM,0.0,0.1914136608690402,0.027482304074070367
Pure Random Forest,0.00555045407026168,0.12459627737534922,0.01088793114278483
