Model,Test,Train,Validation
Hybrid LSTM-RF,0.5233117039173275,0.602324881635139,0.5602924145917776
Pure LSTM,0.5,0.6004179929089841,0.5209177764910249
Pure Random Forest,0.5031649831649831,0.535380174098419,0.5080376940133038
