Date,Set,LSTM_Probability,Actual
2018-09-27,Train,0.18771818,0
2018-09-28,Train,0.16841502,0
2018-09-29,Train,0.16756316,0
2018-09-30,Train,0.19044736,0
2018-10-01,Train,0.23265186,0
2018-10-02,Train,0.2858717,0
2018-10-03,Train,0.32694948,0
2018-10-04,Train,0.3529387,0
2018-10-05,Train,0.34900877,0
2018-10-06,Train,0.34011692,0
2018-10-07,Train,0.33376148,0
2018-10-08,Train,0.32539773,0
2018-10-09,Train,0.3226681,0
2018-10-10,Train,0.33007208,1
2018-10-11,Train,0.33089295,0
2018-10-12,Train,0.32613444,0
2018-10-13,Train,0.33072647,0
2018-10-14,Train,0.33870992,1
2018-10-15,Train,0.33808732,0
2018-10-16,Train,0.31655097,0
2018-10-17,Train,0.282157,0
2018-10-18,Train,0.260806,0
2018-10-19,Train,0.22650851,0
2018-10-20,Train,0.19147941,0
2018-10-21,Train,0.16433057,0
2018-10-22,Train,0.1473632,0
2018-10-23,Train,0.13422845,0
2018-10-24,Train,0.13152525,0
2018-10-25,Train,0.15271749,0
2018-10-26,Train,0.20995907,0
2018-10-27,Train,0.254645,0
2018-10-28,Train,0.28290895,0
2018-10-29,Train,0.29760897,0
2018-10-30,Train,0.28577513,0
2018-10-31,Train,0.2854611,0
2018-11-01,Train,0.2985345,0
2018-11-02,Train,0.31146523,0
2018-11-03,Train,0.3137233,0
2018-11-04,Train,0.30705598,0
2018-11-05,Train,0.29322103,0
2018-11-06,Train,0.26666272,0
2018-11-07,Train,0.22917594,0
2018-11-08,Train,0.17687483,0
2018-11-09,Train,0.13365859,0
2018-11-10,Train,0.11433213,0
2018-11-11,Train,0.10916994,0
2018-11-12,Train,0.11476516,0
2018-11-13,Train,0.1616941,1
2018-11-14,Train,0.21911983,0
2018-11-15,Train,0.2898295,0
2018-11-16,Train,0.3390164,0
2018-11-17,Train,0.38720515,0
2018-11-18,Train,0.4388893,1
2018-11-19,Train,0.4670834,1
2018-11-20,Train,0.4826476,1
2018-11-21,Train,0.49026626,1
2018-11-22,Train,0.4825569,0
2018-11-23,Train,0.51158464,1
2018-11-24,Train,0.56208825,0
2018-11-25,Train,0.6060802,1
2018-11-26,Train,0.6448163,0
2018-11-27,Train,0.684909,1
2018-11-28,Train,0.7175585,0
2018-11-29,Train,0.7406421,1
2018-11-30,Train,0.75041795,1
2018-12-01,Train,0.757419,0
2018-12-02,Train,0.75892425,1
2018-12-03,Train,0.7549293,0
2018-12-04,Train,0.74956244,1
2018-12-05,Train,0.7366438,1
2018-12-06,Train,0.721671,0
2018-12-07,Train,0.711411,0
2018-12-08,Train,0.70056534,1
2018-12-09,Train,0.6849439,0
2018-12-10,Train,0.66217524,0
2018-12-11,Train,0.6432627,0
2018-12-12,Train,0.62962246,1
2018-12-13,Train,0.61488795,0
2018-12-14,Train,0.6119936,0
2018-12-15,Train,0.6222496,0
2018-12-16,Train,0.63820684,1
2018-12-17,Train,0.6579463,1
2018-12-18,Train,0.6632118,0
2018-12-19,Train,0.6445241,1
2018-12-20,Train,0.6133583,1
2018-12-21,Train,0.5729734,0
2018-12-22,Train,0.52808404,0
2018-12-23,Train,0.48145816,0
2018-12-24,Train,0.44222903,1
2018-12-25,Train,0.42863676,0
2018-12-26,Train,0.44243956,1
2018-12-27,Train,0.46190575,1
2018-12-28,Train,0.489452,0
2018-12-29,Train,0.4998043,0
2018-12-30,Train,0.50309443,0
2018-12-31,Train,0.49867594,0
2019-01-01,Train,0.49373353,0
2019-01-02,Train,0.49506122,0
2019-01-03,Train,0.4918407,0
2019-01-04,Train,0.48456508,0
2019-01-05,Train,0.48974237,1
2019-01-06,Train,0.48712242,0
2019-01-07,Train,0.47510862,0
2019-01-08,Train,0.45204014,0
2019-01-09,Train,0.43954825,1
2019-01-10,Train,0.42194107,0
2019-01-11,Train,0.42685884,0
2019-01-12,Train,0.4247713,0
2019-01-13,Train,0.43580467,1
2019-01-14,Train,0.44724408,0
2019-01-15,Train,0.46523273,0
2019-01-16,Train,0.47613642,0
2019-01-17,Train,0.47301838,0
2019-01-18,Train,0.4792502,0
2019-01-19,Train,0.47917747,1
2019-01-20,Train,0.46870545,0
2019-01-21,Train,0.44253647,0
2019-01-22,Train,0.4128367,0
2019-01-23,Train,0.38264793,0
2019-01-24,Train,0.35474238,0
2019-01-25,Train,0.3725226,0
2019-01-26,Train,0.37507233,0
2019-01-27,Train,0.3663722,0
2019-01-28,Train,0.35346776,0
2019-01-29,Train,0.3228178,0
2019-01-30,Train,0.3067016,0
2019-01-31,Train,0.28339565,0
