Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1_Score,F2_Score,ROC_AUC,MCC,Positive_Rate,Valid_Constraint
0.41281398466896885,0.489247311827957,0.4972677595628415,0.49056603773584906,0.994535519125683,0.0,0.6570397111913358,0.8250226654578422,0.45748402579003666,-0.05276165410143953,0.9973118279569892,False
0.41334307687072946,0.489247311827957,0.4972677595628415,0.49056603773584906,0.994535519125683,0.0,0.6570397111913358,0.8250226654578422,0.45748402579003666,-0.05276165410143953,0.9973118279569892,False
0.41387216907249014,0.489247311827957,0.4972677595628415,0.49056603773584906,0.994535519125683,0.0,0.6570397111913358,0.8250226654578422,0.45748402579003666,-0.05276165410143953,0.9973118279569892,False
0.41440126127425075,0.489247311827957,0.4972677595628415,0.49056603773584906,0.994535519125683,0.0,0.6570397111913358,0.8250226654578422,0.45748402579003666,-0.05276165410143953,0.9973118279569892,False
0.41493035347601137,0.489247311827957,0.4972677595628415,0.49056603773584906,0.994535519125683,0.0,0.6570397111913358,0.8250226654578422,0.45748402579003666,-0.05276165410143953,0.9973118279569892,False
0.415459445677772,0.489247311827957,0.4972677595628415,0.49056603773584906,0.994535519125683,0.0,0.6570397111913358,0.8250226654578422,0.45748402579003666,-0.05276165410143953,0.9973118279569892,False
0.4159885378795326,0.489247311827957,0.4972677595628415,0.49056603773584906,0.994535519125683,0.0,0.6570397111913358,0.8250226654578422,0.45748402579003666,-0.05276165410143953,0.9973118279569892,False
0.4165176300812933,0.489247311827957,0.4972677595628415,0.49056603773584906,0.994535519125683,0.0,0.6570397111913358,0.8250226654578422,0.45748402579003666,-0.05276165410143953,0.9973118279569892,False
0.4170467222830539,0.489247311827957,0.4972677595628415,0.49056603773584906,0.994535519125683,0.0,0.6570397111913358,0.8250226654578422,0.45748402579003666,-0.05276165410143953,0.9973118279569892,False
0.4175758144848145,0.489247311827957,0.4972677595628415,0.49056603773584906,0.994535519125683,0.0,0.6570397111913358,0.8250226654578422,0.45748402579003666,-0.05276165410143953,0.9973118279569892,False
0.41810490668657513,0.489247311827957,0.4972677595628415,0.49056603773584906,0.994535519125683,0.0,0.6570397111913358,0.8250226654578422,0.45748402579003666,-0.05276165410143953,0.9973118279569892,False
0.41863399888833575,0.489247311827957,0.4972677595628415,0.49056603773584906,0.994535519125683,0.0,0.6570397111913358,0.8250226654578422,0.45748402579003666,-0.05276165410143953,0.9973118279569892,False
0.41916309109009636,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.41969218329185703,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.42022127549361765,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.42075036769537827,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.4212794598971389,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.4218085520988995,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.4223376443006602,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.4228667365024208,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.4233958287041814,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.423924920905942,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.42445401310770264,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.4249831053094633,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.42551219751122393,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
0.42604128971298455,0.48655913978494625,0.49453551912568305,0.4891891891891892,0.9890710382513661,0.0,0.6546112115732369,0.8212341197822142,0.45748402579003666,-0.07471701153110989,0.9946236559139785,False
