Model,Test,Train,Validation
Hybrid LSTM-RF,0.6862385321100918,0.6820453671664745,0.6616822429906543
Pure LSTM,0.22413793103448276,0.6441850410722006,0.6616541353383458
Pure Random Forest,0.6855123674911661,0.682497127537342,0.6570397111913358
