Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1_Score,F2_Score,ROC_AUC,MCC,Positive_Rate,Valid_Constraint
0.4713600058619394,0.505586592178771,0.5083333333333333,0.5014084507042254,1.0,0.016666666666666666,0.6679174484052532,0.8341143392689785,0.4894194756554307,0.09141557587051066,0.9916201117318436,False
0.47148831273401065,0.5083798882681564,0.5110486891385768,0.5028571428571429,0.9887640449438202,0.03333333333333333,0.6666666666666666,0.8286252354048964,0.4894194756554307,0.07474944772902702,0.9776536312849162,False
0.47161661960608187,0.5111731843575419,0.5138264669163546,0.504297994269341,0.9887640449438202,0.03888888888888889,0.6679316888045541,0.8294062205466541,0.4894194756554307,0.08831886921960287,0.9748603351955307,False
0.4717449264781531,0.5139664804469274,0.5165730337078651,0.5057803468208093,0.9831460674157303,0.05,0.6679389312977099,0.8270321361058601,0.4894194756554307,0.09207666707337657,0.9664804469273743,False
0.4718732333502243,0.5027932960893855,0.5053058676654182,0.5,0.9550561797752809,0.05555555555555555,0.6563706563706564,0.8079847908745247,0.4894194756554307,0.024280462345538982,0.9497206703910615,False
0.47200154022229557,0.5083798882681564,0.5108614232209738,0.5029585798816568,0.9550561797752809,0.06666666666666667,0.6589147286821705,0.8095238095238095,0.4894194756554307,0.04729221310797606,0.9441340782122905,False
0.4721298470943668,0.5139664804469274,0.5164169787765294,0.5059523809523809,0.9550561797752809,0.07777777777777778,0.6614785992217899,0.8110687022900763,0.4894194756554307,0.06835786766477196,0.9385474860335196,False
0.472258153966438,0.5167597765363129,0.5191947565543071,0.5074626865671642,0.9550561797752809,0.08333333333333333,0.6627680311890838,0.8118433619866284,0.4894194756554307,0.07828391490828342,0.9357541899441341,False
0.47238646083850927,0.5195530726256983,0.5219413233458177,0.5090361445783133,0.949438202247191,0.09444444444444444,0.6627450980392157,0.8093869731800766,0.4894194756554307,0.08454410892594717,0.9273743016759777,False
0.4725147677105805,0.5167597765363129,0.5191323345817728,0.5075528700906344,0.9438202247191011,0.09444444444444444,0.6601178781925344,0.8053691275167785,0.4894194756554307,0.07245165951739192,0.9245810055865922,False
