Threshold,Accuracy,Balanced_Accuracy,F1_Score,ROC_AUC
0.4138828578038388,0.489247311827957,0.4972677595628415,0.6570397111913358,0.45748402579003666
0.4154808231404694,0.489247311827957,0.4972677595628415,0.6570397111913358,0.45748402579003666
0.4170787884771,0.489247311827957,0.4972677595628415,0.6570397111913358,0.45748402579003666
0.41867675381373054,0.489247311827957,0.4972677595628415,0.6570397111913358,0.45748402579003666
0.42027471915036113,0.48655913978494625,0.49453551912568305,0.6546112115732369,0.45748402579003666
0.4218726844869917,0.48655913978494625,0.49453551912568305,0.6546112115732369,0.45748402579003666
0.4234706498236223,0.48655913978494625,0.49453551912568305,0.6546112115732369,0.45748402579003666
0.4250686151602529,0.48655913978494625,0.49453551912568305,0.6546112115732369,0.45748402579003666
0.4266665804968835,0.48655913978494625,0.49453551912568305,0.6546112115732369,0.45748402579003666
0.42826454583351403,0.489247311827957,0.4971810217711857,0.6557971014492754,0.45748402579003666
0.4298625111701446,0.489247311827957,0.4971810217711857,0.6557971014492754,0.45748402579003666
0.4314604765067752,0.49193548387096775,0.49982652441668834,0.6569872958257713,0.45748402579003666
0.4330584418434058,0.489247311827957,0.49709428397952987,0.6545454545454545,0.45748402579003666
0.4346564071800364,0.489247311827957,0.49709428397952987,0.6545454545454545,0.45748402579003666
0.436254372516667,0.489247311827957,0.49709428397952987,0.6545454545454545,0.45748402579003666
0.4378523378532975,0.4838709677419355,0.4916298031052129,0.6496350364963503,0.45748402579003666
0.4394503031899281,0.478494623655914,0.486165322230896,0.6446886446886447,0.45748402579003666
0.4410482685265587,0.489247311827957,0.49674733281290656,0.6494464944649446,0.45748402579003666
0.4426462338631893,0.48118279569892475,0.4885506115014312,0.6419294990723562,0.45748402579003666
0.4442441991998199,0.478494623655914,0.4858183710642727,0.6394052044609665,0.45748402579003666
0.4458421645364505,0.47043010752688175,0.4776216497527973,0.6317757009345795,0.45748402579003666
0.447440129873081,0.4731182795698925,0.4802671523983,0.6329588014981273,0.45748402579003666
0.4490380952097116,0.47043010752688175,0.4775349119611415,0.6303939962476548,0.45748402579003666
0.4506360605463422,0.4731182795698925,0.4801804146066441,0.631578947368421,0.45748402579003666
0.4522340258829728,0.47043010752688175,0.4773614363778298,0.6275992438563327,0.45748402579003666
0.4538319912196034,0.47043010752688175,0.4773614363778298,0.6275992438563327,0.45748402579003666
0.455429956556234,0.4650537634408602,0.47189695550351285,0.6223908918406073,0.45748402579003666
0.45702792189286456,0.47043010752688175,0.4771879607945182,0.6247619047619047,0.45748402579003666
0.4586258872294951,0.47043010752688175,0.4770144852112065,0.6218809980806143,0.45748402579003666
0.4602238525661257,0.4731182795698925,0.47939977448174165,0.6186770428015564,0.45748402579003666
0.4618218179027563,0.46774193548387094,0.4738485558157689,0.611764705882353,0.45748402579003666
0.4634197832393869,0.46774193548387094,0.4738485558157689,0.611764705882353,0.45748402579003666
0.46501774857601746,0.46774193548387094,0.4736750802324573,0.6086956521739131,0.45748402579003666
0.466615713912648,0.46774193548387094,0.4736750802324573,0.6086956521739131,0.45748402579003666
0.4682136792492786,0.47043010752688175,0.47632058287796,0.6099009900990099,0.45748402579003666
0.4698116445859092,0.4731182795698925,0.4789660855234626,0.6111111111111112,0.45748402579003666
0.4714096099225398,0.47580645161290325,0.4815248503773094,0.6107784431137725,0.45748402579003666
0.47300757525917037,0.47580645161290325,0.4814381125856536,0.6092184368737475,0.45748402579003666
0.47460554059580096,0.47580645161290325,0.48135137479399775,0.607645875251509,0.45748402579003666
0.47620350593243155,0.4731182795698925,0.4786191343568393,0.6048387096774194,0.45748402579003666
0.47780147126906214,0.47043010752688175,0.4758868939196808,0.602020202020202,0.45748402579003666
0.4793994366056927,0.47043010752688175,0.47571341833636915,0.5987780040733197,0.45748402579003666
0.48099740194232327,0.4731182795698925,0.4783589209818718,0.6,0.45748402579003666
0.48259536727895386,0.47043010752688175,0.47562668054471335,0.5971370143149284,0.45748402579003666
0.48419333261558445,0.46774193548387094,0.472807702315899,0.5925925925925926,0.45748402579003666
0.48579129795221504,0.4731182795698925,0.4780119698152485,0.5933609958506224,0.45748402579003666
0.4873892632888456,0.478494623655914,0.48321623731459795,0.5941422594142259,0.45748402579003666
0.48898722862547617,0.478494623655914,0.48312949952294215,0.592436974789916,0.45748402579003666
0.49058519396210676,0.47580645161290325,0.4803972590857837,0.5894736842105263,0.45748402579003666
0.49218315929873735,0.478494623655914,0.48295602393963044,0.5889830508474576,0.45748402579003666
0.49378112463536794,0.478494623655914,0.48286928614797464,0.5872340425531914,0.45748402579003666
0.49537908997199853,0.478494623655914,0.48278254835631884,0.5854700854700855,0.45748402579003666
0.4969770553086291,0.478494623655914,0.48269581056466304,0.5836909871244635,0.45748402579003666
0.49857502064525966,0.48118279569892475,0.48525457541850986,0.5831533477321814,0.45748402579003666
0.5001729859818903,0.48118279569892475,0.485167837626854,0.5813449023861171,0.45748402579003666
0.5017709513185209,0.4731182795698925,0.4768843785237228,0.5701754385964912,0.45748402579003666
0.5033689166551514,0.45698924731182794,0.46005724694249284,0.5409090909090909,0.45748402579003666
0.504966881991782,0.46236559139784944,0.46448087431693985,0.5215311004784688,0.45748402579003666
0.5065648473284126,0.4596774193548387,0.4614884205048139,0.5109489051094891,0.45748402579003666
0.5081628126650432,0.45161290322580644,0.4531182236100269,0.49504950495049505,0.45748402579003666
0.5097607780016737,0.4489247311827957,0.4502992453812126,0.48877805486284287,0.45748402579003666
0.5113587433383043,0.44623655913978494,0.4470465781941192,0.4690721649484536,0.45748402579003666
0.5129567086749349,0.4435483870967742,0.4440541243819932,0.4566929133858268,0.45748402579003666
0.5145546740115655,0.45698924731182794,0.45684794865122735,0.44808743169398907,0.45748402579003666
0.5161526393481961,0.4543010752688172,0.45385549483910137,0.43454038997214484,0.45748402579003666
