Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC
0.4735907018184662,0.4972067039106145,0.5,0.4972067039106145,1.0,0.664179104477612,0.0
0.47395680528698547,0.49162011173184356,0.49431960049937573,0.4943181818181818,0.9775280898876404,0.6566037735849056,-0.04424948016116515
0.4743229087555047,0.5,0.502621722846442,0.49855907780979825,0.9719101123595506,0.659047619047619,0.01519154512660373
0.474689012224024,0.5,0.5025593008739077,0.49854227405247814,0.9606741573033708,0.6564299424184261,0.01277335271875347
0.4750551156925433,0.4972067039106145,0.49968789013732834,0.4970414201183432,0.9438202247191011,0.6511627906976745,-0.0013589716410337947
0.4754212191610625,0.5027932960893855,0.5051810237203496,0.5,0.9325842696629213,0.6509803921568628,0.019963473800437028
0.4757873226295818,0.5139664804469274,0.5162609238451935,0.5061349693251533,0.9269662921348315,0.6547619047619048,0.056995120483701214
0.4761534260981011,0.5195530726256983,0.521816479400749,0.5092592592592593,0.9269662921348315,0.6573705179282868,0.07441302405195031
0.47651952956662036,0.5139664804469274,0.516167290886392,0.50625,0.9101123595505618,0.6506024096385542,0.052486391341342316
0.4768856330351396,0.5139664804469274,0.5161360799001249,0.5062893081761006,0.9044943820224719,0.6491935483870968,0.05121895687644237
0.4772517365036589,0.5111731843575419,0.5132646691635455,0.5047923322683706,0.8876404494382022,0.6435845213849287,0.04001236725571583
0.47761783997217816,0.5139664804469274,0.5160112359550562,0.5064516129032258,0.8820224719101124,0.6434426229508197,0.04698937206805907
0.4779839434406974,0.5167597765363129,0.5187578027465668,0.50814332247557,0.8764044943820225,0.643298969072165,0.05366658224981919
0.4783500469092167,0.5195530726256983,0.5214419475655431,0.51,0.8595505617977528,0.6401673640167364,0.05819234451670842
0.47871615037773596,0.5139664804469274,0.5157927590511859,0.5067567567567568,0.8426966292134831,0.6329113924050633,0.04173424473901957
0.4790822538462552,0.5139664804469274,0.5156991260923846,0.506896551724138,0.8258426966292135,0.6282051282051282,0.040021952456012956
0.4794483573147745,0.5223463687150838,0.5240324594257179,0.5121951219512195,0.8258426966292135,0.632258064516129,0.06027043755595677
0.47981446078329376,0.5167597765363129,0.5183832709113608,0.508833922261484,0.8089887640449438,0.6247288503253796,0.045172610329850704
0.48018056425181305,0.5111731843575419,0.5127340823970038,0.5053763440860215,0.7921348314606742,0.6170678336980306,0.030706354379198584
