Model,Test,Train,Validation
Hybrid LSTM-RF,0.485161209619414,0.6698438058997626,0.47598314606741565
Pure LSTM,0.5249398004815962,0.5344328986025737,0.4894194756554307
Pure Random Forest,0.4982190432063014,0.6448579191697796,0.45748402579003666
