Model,Test,Train,Validation
Hybrid LSTM-RF,0.027932960893854747,0.44037230948225714,0.06983240223463687
Pure LSTM,0.0,0.41593949970913324,0.0335195530726257
Pure Random Forest,0.8145161290322581,0.5118291979226774,0.7473118279569892
