Model,Test,Train,Validation
Hybrid LSTM-RF,0.5223463687150838,0.5189063408958697,0.49441340782122906
Pure LSTM,0.4972067039106145,0.5212332751599767,0.4972067039106145
Pure Random Forest,0.521505376344086,0.5216387766878245,0.489247311827957
