Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,F2_Score,ROC_AUC,MCC
0.4684654213675302,0.49441340782122906,0.49715980024968787,0.49577464788732395,0.9887640449438202,0.6604127579737336,0.8247422680412371,0.48820224719101124,-0.031156619491447452
0.4686739817636097,0.4972067039106145,0.49993757802746563,0.4971751412429379,0.9887640449438202,0.6616541353383458,0.8255159474671669,0.48820224719101124,-0.0005938573157698755
0.4688825421596891,0.4972067039106145,0.4999063670411985,0.4971590909090909,0.9831460674157303,0.660377358490566,0.8223684210526315,0.48820224719101124,-0.0007293870356236015
0.4690911025557686,0.5,0.502621722846442,0.49855907780979825,0.9719101123595506,0.659047619047619,0.8168083097261567,0.48820224719101124,0.01519154512660373
0.469299662951848,0.5,0.5025905118601748,0.4985507246376812,0.9662921348314607,0.6577437858508605,0.8136234626300851,0.48820224719101124,0.013847794519737635
0.46950822334792747,0.5083798882681564,0.510892634207241,0.5029411764705882,0.9606741573033708,0.6602316602316602,0.8127376425855514,0.48820224719101124,0.04984636093290062
0.4697167837440069,0.5083798882681564,0.5108614232209738,0.5029585798816568,0.9550561797752809,0.6589147286821705,0.8095238095238095,0.48820224719101124,0.04729221310797606
0.46992534414008635,0.5111731843575419,0.5136392009987516,0.5044510385756676,0.9550561797752809,0.6601941747572816,0.8102955195424214,0.48820224719101124,0.058041761075970276
0.47013390453616577,0.5111731843575419,0.5136079900124844,0.5044776119402985,0.949438202247191,0.6588693957115009,0.8070678127984718,0.48820224719101124,0.05549884048782369
0.47034246493224524,0.5139664804469274,0.5163857677902621,0.5059880239520959,0.949438202247191,0.66015625,0.8078393881453155,0.48820224719101124,0.06551853697671127
0.47055102532832466,0.5223463687150838,0.5247191011235955,0.5105740181268882,0.949438202247191,0.6640471512770137,0.8101629913710451,0.48820224719101124,0.0936080168642323
0.47075958572440413,0.5139664804469274,0.5162921348314606,0.5060975609756098,0.9325842696629213,0.6561264822134387,0.7980769230769231,0.48820224719101124,0.05879720688440489
0.47096814612048354,0.5223463687150838,0.5246254681647939,0.5107692307692308,0.9325842696629213,0.6600397614314115,0.8003857280617165,0.48820224719101124,0.08512597412746929
0.471176706516563,0.5251396648044693,0.527247191011236,0.5127388535031847,0.9044943820224719,0.6544715447154471,0.7846003898635477,0.48820224719101124,0.08298638057522083
0.47138526691264243,0.5223463687150838,0.5244069912609238,0.5112540192926045,0.8932584269662921,0.6503067484662577,0.7771260997067448,0.48820224719101124,0.07227055194665008
