Model,Test,Train,Validation
Hybrid LSTM-RF,0.49413641054507934,0.6251463557420236,0.4488139825218477
Pure LSTM,0.53722988397911,0.5337302555262845,0.48820224719101124
Pure Random Forest,0.4982190432063014,0.6448579191697796,0.45748402579003666
