Model,Set,Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,ROC_AUC,MCC
Pure Random Forest,Train,0.3370281075266388,0.5539526832083093,0.5393325387365911,0.5362927414517097,1.0,0.6981647793830535,0.8743217263547475,0.20539598354058458
Pure Random Forest,Validation,0.3370281075266388,0.5026881720430108,0.5105820105820106,0.49728260869565216,1.0,0.6642468239564429,0.4504871772631336,0.10258898408179329
Pure Random Forest,Test,0.3370281075266388,0.5241935483870968,0.5028089887640449,0.522911051212938,1.0,0.6867256637168142,0.5163616355843855,0.05420057688718955
Pure LSTM,Train,0.4959230133981416,0.5177428737638162,0.5164589228217387,0.5318230852211435,0.5551801801801802,0.5432506887052342,0.5312835398575471,0.03300167183079306
Pure LSTM,Validation,0.4959230133981416,0.5307262569832403,0.5284644194756555,0.6470588235294118,0.12359550561797752,0.20754716981132076,0.49191635455680394,0.09708823738966908
Pure LSTM,Test,0.4959230133981416,0.4776536312849162,0.5,0.0,0.0,0.0,0.5212496481846327,0.0
Hybrid LSTM-RF,Train,0.5717778661281201,0.7172774869109948,0.7258492698474648,0.969626168224299,0.46734234234234234,0.6306990881458967,0.9029004184690105,0.5220002075332084
Hybrid LSTM-RF,Validation,0.5717778661281201,0.5111731843575419,0.5084269662921348,1.0,0.016853932584269662,0.03314917127071823,0.45059300873907615,0.09244271717242651
Hybrid LSTM-RF,Test,0.5717778661281201,0.4776536312849162,0.4997498201832567,0.5,0.0053475935828877,0.010582010582010581,0.5056134096381775,-0.0033532128932657014
