Model,Test,Train,Validation
Hybrid LSTM-RF,0.5,0.5024453605229778,0.49719101123595505
Pure LSTM,0.5139631610219846,0.5103363742804177,0.49993757802746563
Pure Random Forest,0.5,0.506069465887002,0.4972677595628415
