Feature,Importance
LSTM_Probability,0.3068344987870967
FearGreed,0.24565545237247968
DXY_Return,0.16750088542281316
SP500_Return,0.1491192015539275
FED,0.12781734081499538
CPI_Change,0.003072621048687658
