Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC
0.3320679516069784,0.4972067039106145,0.5,0.4972067039106145,1.0,0.664179104477612,0.0
0.3348232379807846,0.49441340782122906,0.49719101123595505,0.4957983193277311,0.9943820224719101,0.6616822429906543,-0.05322211675273693
0.33757852435459085,0.49441340782122906,0.49719101123595505,0.4957983193277311,0.9943820224719101,0.6616822429906543,-0.05322211675273693
0.3403338107283971,0.4972067039106145,0.4999687890137328,0.49719101123595505,0.9943820224719101,0.6629213483146067,-0.0004187393216291741
0.3430890971022033,0.49441340782122906,0.49715980024968787,0.49577464788732395,0.9887640449438202,0.6604127579737336,-0.031156619491447452
0.34584438347600954,0.49441340782122906,0.49715980024968787,0.49577464788732395,0.9887640449438202,0.6604127579737336,-0.031156619491447452
0.3485996698498158,0.49441340782122906,0.49715980024968787,0.49577464788732395,0.9887640449438202,0.6604127579737336,-0.031156619491447452
0.351354956223622,0.49441340782122906,0.49715980024968787,0.49577464788732395,0.9887640449438202,0.6604127579737336,-0.031156619491447452
0.3541102425974282,0.49441340782122906,0.49715980024968787,0.49577464788732395,0.9887640449438202,0.6604127579737336,-0.031156619491447452
0.3568655289712344,0.5,0.5027153558052434,0.4985835694050991,0.9887640449438202,0.6629001883239172,0.023138256956208095
0.35962081534504065,0.49441340782122906,0.49709737827715356,0.49572649572649574,0.9775280898876404,0.6578449905482041,-0.02096351542072134
0.3623761017188469,0.49441340782122906,0.49709737827715356,0.49572649572649574,0.9775280898876404,0.6578449905482041,-0.02096351542072134
0.3651313880926531,0.4888268156424581,0.4914794007490637,0.49283667621776506,0.9662921348314607,0.6527514231499051,-0.05442675236332186
0.36788667446645934,0.49162011173184356,0.4941947565543071,0.4941860465116279,0.9550561797752809,0.6513409961685823,-0.02994700858192202
0.37064196084026557,0.49441340782122906,0.4969413233458177,0.49560117302052786,0.949438202247191,0.651252408477842,-0.014381631858178198
0.3733972472140718,0.4888268156424581,0.4913233458177278,0.49262536873156343,0.9382022471910112,0.6460348162475822,-0.03870364684698078
0.37615253358787804,0.48324022346368717,0.48570536828963795,0.4896142433234421,0.9269662921348315,0.6407766990291263,-0.06083095325582239
0.37890781996168427,0.48044692737430167,0.482896379525593,0.4880952380952381,0.9213483146067416,0.6381322957198443,-0.07121694197774721
0.3816631063354905,0.48044692737430167,0.4828651685393259,0.4880239520958084,0.9157303370786517,0.63671875,-0.06851367009564664
0.38441839270929673,0.48044692737430167,0.4828339575530587,0.4879518072289157,0.9101123595505618,0.6352941176470588,-0.06614403970024316
0.38717367908310296,0.4860335195530726,0.4883895131086142,0.4909090909090909,0.9101123595505618,0.6377952755905512,-0.04324049891184468
0.3899289654569092,0.48324022346368717,0.4855805243445693,0.48936170212765956,0.9044943820224719,0.6351084812623274,-0.052848025948813895
0.3926842518307154,0.4776536312849162,0.4799313358302122,0.48615384615384616,0.8876404494382022,0.6282306163021869,-0.06937389272999082
0.3954395382045216,0.4720670391061452,0.47431335830212235,0.48297213622291024,0.8764044943820225,0.6227544910179641,-0.08648649436785989
0.3981948245783279,0.4776536312849162,0.47986891385767794,0.48598130841121495,0.8764044943820225,0.625250501002004,-0.06612871419222209
0.40095011095213406,0.4776536312849162,0.47983770287141075,0.48589341692789967,0.8707865168539326,0.6237424547283702,-0.0647125651039315
0.40370539732594035,0.4776536312849162,0.47980649188514357,0.48580441640378547,0.8651685393258427,0.6222222222222222,-0.06341127172877997
0.40646068369974653,0.4748603351955307,0.47696629213483144,0.4840764331210191,0.8539325842696629,0.6178861788617886,-0.0701534351254444
0.40921597007355276,0.4748603351955307,0.47690387016229707,0.4838709677419355,0.8426966292134831,0.6147540983606558,-0.06778194021513394
0.411971256447359,0.46089385474860334,0.4628589263420724,0.47540983606557374,0.8146067415730337,0.6004140786749482,-0.1045786060851382
0.4147265428211652,0.46368715083798884,0.46554307116104865,0.47651006711409394,0.797752808988764,0.5966386554621849,-0.09225056996871658
0.41748182919497145,0.4692737430167598,0.47103620474406993,0.4794520547945205,0.7865168539325843,0.5957446808510638,-0.07469100871175344
0.4202371155687777,0.4720670391061452,0.47365792759051184,0.4804270462633452,0.7584269662921348,0.5882352941176471,-0.0641102788761582
0.4229924019425839,0.4720670391061452,0.4735955056179776,0.48014440433212996,0.7471910112359551,0.5846153846153846,-0.06310615372245068
0.42574768831639015,0.4720670391061452,0.47343945068664167,0.4794007490636704,0.7191011235955056,0.5752808988764045,-0.0610010029026836
0.4285029746901964,0.4664804469273743,0.46772784019975033,0.4749034749034749,0.6910112359550562,0.562929061784897,-0.07215007740850418
0.4312582610640026,0.4581005586592179,0.4592696629213483,0.468503937007874,0.6685393258426966,0.5509259259259259,-0.08971410433146192
0.43401354743780884,0.46089385474860334,0.46192259675405745,0.46938775510204084,0.6460674157303371,0.5437352245862884,-0.08192591653818262
0.436768833811615,0.45251396648044695,0.45343320848938823,0.46218487394957986,0.6179775280898876,0.5288461538461539,-0.09864463348922266
0.4395241201854213,0.44972067039106145,0.45053058676654184,0.4588744588744589,0.5955056179775281,0.5183374083129584,-0.10339633812259558
0.4422794065592275,0.441340782122905,0.4420724094881398,0.45132743362831856,0.5730337078651685,0.504950495049505,-0.12006613444761326
0.44503469293303377,0.4329608938547486,0.43355181023720346,0.4423963133640553,0.5393258426966292,0.4860759493670886,-0.1359940727254382
0.44778997930683995,0.4441340782122905,0.4446004993757803,0.44976076555023925,0.5280898876404494,0.48578811369509045,-0.11238693363523294
0.4505452656806462,0.44692737430167595,0.44728464419475655,0.4504950495049505,0.5112359550561798,0.4789473684210526,-0.10631031564898188
0.4533005520544524,0.46089385474860334,0.46114232209737827,0.46153846153846156,0.5056179775280899,0.48257372654155495,-0.07802647468703225
