Date,Open,High,Low,Close,Volume,SMA_14,EMA_14,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,ADX_14,RSI_14,MACD,MACD_Signal,MACD_Hist,Williams_R,K,D,J,SQZ_Momentum,BB_Middle,BB_Upper,BB_Lower,BB_Width,ATR_14
2018-01-01,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125,10291200000,,13657.2001953125,,,,,,,0.0,0.0,0.0,,,,,,,,,,
2018-01-02,13625.0,15444.599609375,13163.599609375,14982.099609375,16846600192,,13833.853450520834,,,,,,,105.68998174857552,21.137996349715106,84.55198539886041,,,,,,,,,,
2018-01-03,14978.2001953125,15572.7998046875,14844.5,15201.0,16871900160,,14016.139657118056,,,,,,,204.75321819120654,57.8610407180134,146.89217747319316,,,,,,,,,,
2018-01-04,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125,21783199744,,14227.214395543982,,,,,,,311.79875271459423,108.64858311732957,203.15016959726466,,,,,,,,,,
2018-01-05,15477.2001953125,17705.19921875,15202.7998046875,17429.5,23840899072,,14654.185809471452,,,,,,,538.1198966300472,194.5428458198731,343.57705081017406,,,,,,,,,,
2018-01-06,17462.099609375,17712.400390625,16764.599609375,17527.0,18314600448,,15037.227701541924,,,,,,,717.0823894797031,299.0507545518391,418.03163492786405,,,,,,,,,,
2018-01-07,17527.30078125,17579.599609375,16087.7001953125,16477.599609375,15866000384,,15229.277289253001,,,,,,,765.4104380216868,392.32269124580864,373.08774677587814,,,,,,,,,,
2018-01-08,16476.19921875,16537.900390625,14208.2001953125,15170.099609375,18413899776,,15221.386931935936,,,,,,,690.249673340657,451.90808766477835,238.3415856758786,,,,,,,,,,
2018-01-09,15123.7001953125,15497.5,14424.0,14595.400390625,16659999744,,15137.922059761146,15433.55029296875,,,,,,577.6519892789875,477.0568679876202,100.59512129136726,,31.610244938757276,31.610244938757276,31.610244938757276,,,,,,
2018-01-10,14588.5,14973.2998046875,13691.2001953125,14973.2998046875,18500800512,,15115.972425751326,15438.0,,,,,,512.9973240928775,484.24495920867173,28.752364884205804,,36.51456778511103,34.552838646569526,40.43802606219404,,,,,,
2018-01-11,14968.2001953125,15018.7998046875,13105.900390625,13405.7998046875,16534099968,,14887.949409609482,15409.150390625,,,,,,331.4531012366024,453.68658761425786,-122.23348637765548,,22.302045024220803,28.749831141246446,9.406472790169516,,,,,,
2018-01-12,13453.900390625,14229.900390625,13158.099609375,13980.599609375,12065699840,,14766.969436244886,15409.150390625,,,,,,231.29333155235327,409.20793640187696,-177.9146048495237,,20.9255949902889,25.499763817002542,11.777257336861616,,,,,,
2018-01-13,13952.400390625,14659.5,13952.400390625,14360.2001953125,12763599872,,14712.733537453902,15409.150390625,,,,,,180.46628430697274,363.4596059828961,-182.99332167592337,,23.34535153543937,24.672714552516204,20.69062550128571,,,,,,
2018-01-14,14370.7998046875,14511.7998046875,13268.0,13772.0,11084099584,15080.78564453125,14587.302399126715,15409.150390625,,,,,,91.66597490965978,309.1008797682489,-217.4349048585891,-85.54000630901987,20.09852152611066,23.001242514295832,14.293079549740312,,,,,,1410.5213448660713
2018-01-15,13767.2998046875,14445.5,13641.7001953125,13819.7998046875,12750799872,15092.39990234375,14484.968719868153,15342.75,,,,,50.78647806787002,24.861546269632527,252.25301306852563,-227.3914667988931,-84.50234637875828,18.63244076036887,21.45444480734452,12.988432666417573,,,,,,1399.542759486607
2018-01-16,13836.099609375,13843.099609375,10194.900390625,11490.5,18853799936,14842.999930245536,14085.706223885732,13366.400390625,,,,,34.60711129985212,-213.57451809599843,159.08750683562084,-372.66202493161927,-82.76555225307615,19.25445032809352,20.691338078379896,16.380674827520764,,,,,,1497.1998465401787
2018-01-17,11431.099609375,11678.0,9402.2900390625,11188.599609375,18830600192,14556.39990234375,13699.42534195097,12449.89501953125,,,,,32.43964546760819,-422.0327248357826,42.86346050134016,-464.89618533712274,-78.50438207506318,22.6947149504225,21.376965101355825,25.330214648555845,,,,,,1607.7291434151787
2018-01-18,11198.7998046875,12107.2998046875,10942.5,11474.900390625,15020399616,14261.807059151786,13402.822015107507,12210.544921875,,,,,31.771373175802736,-557.70638318079,-77.25050823508587,-480.4558749457041,-75.05917173322734,27.51408704065521,23.4587741686756,35.624712784614424,,,,,,1603.96484375
2018-01-19,11429.7998046875,11992.7998046875,11172.099609375,11607.400390625,10740400128,13845.942801339286,13163.432465176507,12210.544921875,,,,,19.723557328519846,-647.0779800815126,-191.21600260437123,-455.86197747714135,-73.46472840582813,31.47559770155446,26.162304244763774,42.102184615135826,,,,,,1483.843470982143
2018-01-20,11656.2001953125,13103.0,11656.2001953125,12899.2001953125,11801700352,13515.385672433036,13128.201495861307,12030.89501953125,,,,,28.593236682329263,-606.6747968795826,-274.30776145941354,-332.36703542016903,-57.236422001859424,43.246609642937244,31.901305180337708,65.93721856813632,-1281.3697753906254,14180.569970703125,17894.612844222927,10466.527097183323,0.5238213811141537,1522.971958705357
2018-01-21,12889.2001953125,12895.900390625,11288.2001953125,11600.099609375,9935179776,13166.99281529018,12924.454577663135,12030.89501953125,,,,,27.94762667301525,-671.7381639399864,-353.79384195552814,-317.94432198445827,-69.19941726034352,42.763801208964146,35.54083795029761,57.20972772629723,-2477.6153320312496,14077.71494140625,17962.784118816435,10192.645763996064,0.5519459931644415,1531.4791434151787
2018-01-22,11633.099609375,11966.400390625,10240.2001953125,10931.400390625,10537400320,12864.228585379464,12658.714019391384,11957.044921875,,,,,29.660946739240245,-768.4021280734651,-436.71549917911557,-331.6866288943495,-74.91291749813146,38.4700769398018,36.52060713378292,42.369016551839564,-2943.7795898437507,13875.17998046875,17977.973569303183,9772.386391634318,0.591385999260505,1488.3720005580358
2018-01-23,10944.5,11377.599609375,10129.7001953125,10868.400390625,9660609536,12598.01429966518,12420.005535555867,11923.89501953125,,,,,31.192726105788154,-840.4049247242147,-517.4533842881355,-322.9515404360792,-73.89641587493345,35.32987210006949,36.122786970576534,33.7440423590554,-2790.1496093749993,13658.55,17921.01040052512,9396.089599474879,0.6241453742198287,1500.8291015625
2018-01-24,10903.400390625,11501.400390625,10639.7998046875,11359.400390625,9940989952,12339.878627232143,12278.591516231752,11622.69482421875,,,,,31.969270758370413,-848.072016975093,-583.5771108255269,-264.4949061495661,-65.1543319030495,38.24803287223071,36.832282434579376,41.079533747533375,-2087.1596191406243,13446.560009765624,17724.332961843033,9168.787057688216,0.636262798659383,1470.79345703125
2018-01-25,11421.7001953125,11785.7001953125,11057.400390625,11259.400390625,8873169920,12186.564383370536,12142.699366150853,11252.64501953125,,,,,37.45382763023105,-852.3915676904508,-637.3400021985117,-215.05156549193907,-64.67498225558167,42.23024455418264,38.63343123370648,49.423871195134964,-1878.6546386718746,13138.055029296875,17083.424642148315,9192.685416445434,0.6006017791908411,1386.17919921875
2018-01-26,11256.0,11656.7001953125,10470.2998046875,11171.400390625,9746199552,11985.907296316964,12013.19283608074,11616.35009765625,13557.34521484375,,,,32.58876183388223,-853.0819100721092,-680.4883837732311,-172.59352629887803,-66.34887393298972,39.830257444821754,39.03264342681083,41.425485480843605,-1648.8746582031254,12820.275048828125,16269.864856838707,9370.685240817544,0.538145990608197,1394.3648856026787
2018-01-27,11174.900390625,11614.900390625,10989.2001953125,11440.7001953125,7583269888,11777.37158203125,11936.860483978307,11616.35009765625,13557.34521484375,,,51.37287488574525,31.65428837440379,-822.418439939398,-708.8743950064646,-113.54404493293339,-60.10556296489121,41.25162128286751,39.77263651785888,44.20959081288477,-1127.7298828125004,12568.430078125,15604.42875389872,9532.431402351282,0.4831150202375377,1388.5506417410713
2018-01-28,11475.2998046875,12040.2998046875,11475.2998046875,11786.2998046875,8350360064,11635.535853794643,11916.785726739534,11616.35009765625,13557.34521484375,,,53.79896909204086,37.129744464261584,-761.4528641309826,-719.3900888313683,-42.06277529961426,-52.72832612382793,46.07448515407036,41.87388463545973,54.4756861912916,-612.9402832031246,12399.240087890625,15192.188206411403,9606.291969369846,0.45050311127509085,1342.536342075893
