Model,Test,Train,Validation
Hybrid LSTM-RF,0.5615384615384615,0.6272032902467685,0.41832669322709165
Pure LSTM,0.5615384615384615,0.6229938721914211,0.41353383458646614
Pure Random Forest,0.5580357142857143,0.6277181791823717,0.40293040293040294
