Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,F2_Score,ROC_AUC,MCC
0.2354012412014662,0.12365591397849462,0.5030487804878049,0.11891891891891893,1.0,0.21256038647342995,0.40293040293040294,0.48652300443458985,0.02692796611817723
0.2365290960064429,0.12365591397849462,0.5030487804878049,0.11891891891891893,1.0,0.21256038647342995,0.40293040293040294,0.48652300443458985,0.02692796611817723
0.23765695081141963,0.15053763440860216,0.4789356984478936,0.11363636363636363,0.9090909090909091,0.20202020202020202,0.3787878787878788,0.48652300443458985,-0.06031898008919084
0.23878480561639637,0.1774193548387097,0.4941796008869179,0.11695906432748537,0.9090909090909091,0.20725388601036268,0.3861003861003861,0.48652300443458985,-0.01380614216926685
0.2399126604213731,0.2553763440860215,0.508869179600887,0.12052117263843648,0.8409090909090909,0.21082621082621084,0.3830227743271222,0.48652300443458985,0.01508519189687282
0.2410405152263498,0.2553763440860215,0.508869179600887,0.12052117263843648,0.8409090909090909,0.21082621082621084,0.3830227743271222,0.48652300443458985,0.01508519189687282
0.24216837003132655,0.2553763440860215,0.508869179600887,0.12052117263843648,0.8409090909090909,0.21082621082621084,0.3830227743271222,0.48652300443458985,0.01508519189687282
0.24329622483630328,0.2553763440860215,0.508869179600887,0.12052117263843648,0.8409090909090909,0.21082621082621084,0.3830227743271222,0.48652300443458985,0.01508519189687282
0.24442407964128002,0.2553763440860215,0.508869179600887,0.12052117263843648,0.8409090909090909,0.21082621082621084,0.3830227743271222,0.48652300443458985,0.01508519189687282
0.24555193444625673,0.2553763440860215,0.508869179600887,0.12052117263843648,0.8409090909090909,0.21082621082621084,0.3830227743271222,0.48652300443458985,0.01508519189687282
0.24667978925123346,0.2553763440860215,0.508869179600887,0.12052117263843648,0.8409090909090909,0.21082621082621084,0.3830227743271222,0.48652300443458985,0.01508519189687282
0.2478076440562102,0.26344086021505375,0.5134423503325942,0.12171052631578948,0.8409090909090909,0.21264367816091953,0.3854166666666667,0.48652300443458985,0.02246348931640935
0.24893549886118693,0.26344086021505375,0.5134423503325942,0.12171052631578948,0.8409090909090909,0.21264367816091953,0.3854166666666667,0.48652300443458985,0.02246348931640935
0.25006335366616367,0.26344086021505375,0.5134423503325942,0.12171052631578948,0.8409090909090909,0.21264367816091953,0.3854166666666667,0.48652300443458985,0.02246348931640935
0.2511912084711404,0.2661290322580645,0.5149667405764967,0.12211221122112212,0.8409090909090909,0.2132564841498559,0.3862212943632568,0.48652300443458985,0.024869933676932035
0.2523190632761171,0.271505376344086,0.5180155210643016,0.12292358803986711,0.8409090909090909,0.2144927536231884,0.38784067085953877,0.48652300443458985,0.029609267351003443
0.2534469180810938,0.2768817204301075,0.5210643015521065,0.12374581939799331,0.8409090909090909,0.21574344023323616,0.3894736842105263,0.48652300443458985,0.034256524144112024
0.25457477288607055,0.28225806451612906,0.5241130820399114,0.12457912457912458,0.8409090909090909,0.21700879765395895,0.39112050739957716,0.48652300443458985,0.038818354620249094
0.2557026276910473,0.27956989247311825,0.502910199556541,0.11904761904761904,0.7954545454545454,0.20710059171597633,0.3723404255319149,0.48652300443458985,0.004617374066649006
0.256830482496024,0.2849462365591398,0.5059589800443459,0.11986301369863013,0.7954545454545454,0.20833333333333334,0.37393162393162394,0.48652300443458985,0.009367609267724874
0.25795833730100076,0.2903225806451613,0.5090077605321508,0.1206896551724138,0.7954545454545454,0.20958083832335328,0.37553648068669526,0.48652300443458985,0.014034733252065005
0.2590861921059775,0.28225806451612906,0.4749168514412417,0.11149825783972125,0.7272727272727273,0.1933534743202417,0.34557235421166305,0.48652300443458985,-0.038585567750893925
0.2602140469109542,0.28225806451612906,0.4749168514412417,0.11149825783972125,0.7272727272727273,0.1933534743202417,0.34557235421166305,0.48652300443458985,-0.038585567750893925
0.2613419017159309,0.28225806451612906,0.4749168514412417,0.11149825783972125,0.7272727272727273,0.1933534743202417,0.34557235421166305,0.48652300443458985,-0.038585567750893925
0.26246975652090765,0.2849462365591398,0.4764412416851441,0.11188811188811189,0.7272727272727273,0.19393939393939394,0.3463203463203463,0.48652300443458985,-0.03609220458202387
0.2635976113258844,0.28763440860215056,0.47796563192904656,0.11228070175438597,0.7272727272727273,0.1945288753799392,0.3470715835140998,0.48652300443458985,-0.0336210907758623
0.2647254661308611,0.29301075268817206,0.48101441241685144,0.11307420494699646,0.7272727272727273,0.19571865443425077,0.3485838779956427,0.48652300443458985,-0.028742800287270994
0.26585332093583786,0.30376344086021506,0.4871119733924612,0.11469534050179211,0.7272727272727273,0.19814241486068113,0.3516483516483517,0.48652300443458985,-0.01922366120271981
0.2669811757408146,0.30376344086021506,0.4871119733924612,0.11469534050179211,0.7272727272727273,0.19814241486068113,0.3516483516483517,0.48652300443458985,-0.01922366120271981
0.26810903054579127,0.3064516129032258,0.48863636363636365,0.11510791366906475,0.7272727272727273,0.19875776397515527,0.3524229074889868,0.48652300443458985,-0.016889790352741314
0.269236885350768,0.3118279569892473,0.4916851441241685,0.11594202898550725,0.7272727272727273,0.2,0.35398230088495575,0.48652300443458985,-0.012273200357931615
0.27036474015574474,0.3225806451612903,0.4977827050997783,0.11764705882352941,0.7272727272727273,0.20253164556962025,0.35714285714285715,0.48652300443458985,-0.0032302211909124587
0.2714925949607215,0.3279569892473118,0.5008314855875832,0.11851851851851852,0.7272727272727273,0.20382165605095542,0.35874439461883406,0.48652300443458985,0.0012038323608734307
0.2726204497656982,0.3279569892473118,0.5008314855875832,0.11851851851851852,0.7272727272727273,0.20382165605095542,0.35874439461883406,0.48652300443458985,0.0012038323608734307
0.27374830457067495,0.33602150537634407,0.5054046563192904,0.1198501872659176,0.7272727272727273,0.2057877813504823,0.3611738148984199,0.48652300443458985,0.007755522426758485
0.2748761593756517,0.3333333333333333,0.4842017738359201,0.11363636363636363,0.6818181818181818,0.19480519480519481,0.3409090909090909,0.48652300443458985,-0.022479556635481176
0.2760040141806284,0.34139784946236557,0.4887749445676275,0.11494252873563218,0.6818181818181818,0.19672131147540983,0.34324942791762014,0.48652300443458985,-0.01584528325033232
0.27713186898560516,0.34946236559139787,0.49334811529933476,0.11627906976744186,0.6818181818181818,0.1986754966887417,0.3456221198156682,0.48652300443458985,-0.009319136863539973
0.27825972379058184,0.34946236559139787,0.49334811529933476,0.11627906976744186,0.6818181818181818,0.1986754966887417,0.3456221198156682,0.48652300443458985,-0.009319136863539973
0.27938757859555857,0.3548387096774194,0.4767184035476718,0.1111111111111111,0.6363636363636364,0.1891891891891892,0.32710280373831774,0.48652300443458985,-0.032167337783899276
