Model,Test,Train,Validation
Hybrid LSTM-RF,0.5110310021629416,0.7064732709304602,0.5141140706427331
Pure LSTM,0.5602018745493872,0.6640921252021084,0.497466705269253
Pure Random Forest,0.49037037037037035,0.7005818084917392,0.48652300443458985
