Model,Test,Train,Validation
Hybrid LSTM-RF,0.20391061452513967,0.2517688679245283,0.12883435582822086
Pure LSTM,0.20391061452513967,0.2484002326934264,0.12359550561797752
Pure Random Forest,0.20161290322580644,0.2521840419336051,0.11891891891891893
