Model,Test,Train,Validation
Hybrid LSTM-RF,0.20391061452513967,0.2617801047120419,0.2011173184357542
Pure LSTM,0.20391061452513967,0.2484002326934264,0.12849162011173185
Pure Random Forest,0.20161290322580644,0.2590882862088863,0.12365591397849462
